Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Day Type,Day Part,Name of Metro Area,Average Daily Zone Traffic (StL Index),Percent by Home Location
Personal,Residents,Trip End,5030000000001054198,Baylor,0: All Days (M-Su),0: All Day (12am-12am),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,0: All Days (M-Su),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,0: All Days (M-Su),2: Recreation Hours (8am-8pm),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,0: All Days (M-Su),3: Afternoon (12noon-4pm),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,0: All Days (M-Su),4: Evening (4pm-8pm),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,1: Weekday (M-F),0: All Day (12am-12am),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,1: Weekday (M-F),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,1: Weekday (M-F),2: Recreation Hours (8am-8pm),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,1: Weekday (M-F),3: Afternoon (12noon-4pm),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,1: Weekday (M-F),4: Evening (4pm-8pm),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),0: All Day (12am-12am),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),N/A,,N/A
Personal,Residents,Trip End,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),N/A,,N/A
Personal,Residents,Trip End,5030000000001054200,Nokomis-Hiawatha,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip End,5030000000001054201,Phalen,1: Weekday (M-F),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip End,5030000000001054201,Phalen,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip End,5030000000001054201,Phalen,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,0: All Days (M-Su),0: All Day (12am-12am),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,0: All Days (M-Su),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,0: All Days (M-Su),2: Recreation Hours (8am-8pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,0: All Days (M-Su),3: Afternoon (12noon-4pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,0: All Days (M-Su),4: Evening (4pm-8pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,1: Weekday (M-F),0: All Day (12am-12am),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,1: Weekday (M-F),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,1: Weekday (M-F),2: Recreation Hours (8am-8pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,1: Weekday (M-F),3: Afternoon (12noon-4pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,1: Weekday (M-F),4: Evening (4pm-8pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),0: All Day (12am-12am),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054198,Baylor,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054200,Nokomis-Hiawatha,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054201,Phalen,1: Weekday (M-F),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054201,Phalen,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),N/A,,N/A
Personal,Residents,Trip Start,5030000000001054201,Phalen,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),N/A,,N/A
