Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),48,2680,2693,20.9,20.7
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),12,2580,2571,18.5,17.6
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),34,2462,2487,17.6,17.4
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),9,2109,2213,14.9,15.4
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),12,2610,2610,18.7,18.7
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),27,2743,2808,19.7,19.5
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),10,2655,2733,18.8,18.0
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),21,2367,2469,15.8,15.7
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),4,1672,2046,7.1,9.3
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),7,2336,2336,16.2,16.2
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),103,2633,2605,21.8,21.5
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),20,2476,2348,18.1,17.2
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),70,2539,2501,19.1,18.8
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),24,2292,2292,18.2,18.2
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),27,2806,2806,20.5,20.5
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),4469,2720,2758,9.9,10.0
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),562,3188,3219,8.7,8.8
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),3872,2836,2876,10.2,10.3
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),1799,3077,3125,11.5,11.6
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),1511,2408,2440,9.0,9.2
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),3561,2699,2737,9.8,9.9
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),471,3194,3220,8.7,8.8
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),3034,2839,2877,10.1,10.2
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),1405,3042,3087,11.4,11.5
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),1158,2432,2467,9.0,9.1
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),6915,2747,2787,10.1,10.2
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),807,3177,3216,8.6,8.8
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),6128,2833,2875,10.2,10.3
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),2860,3126,3177,11.6,11.6
Personal,Visitors,Trip Start,5030000000001054199,Como,no,N/A,no,2: Weekend Day (Sa-Su),4: Evening (4pm-8pm),2461,2379,2407,9.1,9.3
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1949,1901,1984,5.5,5.7
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),327,1893,1999,5.3,5.5
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),1568,1929,2013,5.5,5.7
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),516,1954,2047,5.7,5.9
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),725,1929,1995,5.5,5.6
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1732,1879,1963,5.5,5.7
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),267,1805,1907,4.9,5.2
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),1346,1920,2006,5.5,5.8
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),399,1969,2071,6.0,6.3
Personal,Visitors,Trip Start,5030000000001054200,Nokomis-Hiawatha,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),680,1937,2006,5.5,5.7
