Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),48,0.123,0.129,0.140,0.213,0.175,0.099,0.047,0.044,0.030,0.080,0.306,0.331,0.207,0.076,0.903,0.029,0.006,0.018,0.000,0.020,0.024,0.051,0.421,0.579,0.211,0.312
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),12,0.126,0.135,0.136,0.219,0.182,0.104,0.041,0.033,0.024,0.088,0.345,0.338,0.171,0.058,0.932,0.006,0.005,0.009,0.000,0.019,0.029,0.064,0.481,0.519,0.243,0.352
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),34,0.128,0.137,0.132,0.217,0.177,0.098,0.047,0.042,0.022,0.084,0.326,0.333,0.190,0.067,0.926,0.017,0.005,0.012,0.000,0.016,0.024,0.051,0.433,0.567,0.220,0.317
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),9,0.127,0.145,0.140,0.215,0.177,0.090,0.045,0.044,0.017,0.081,0.318,0.327,0.205,0.069,0.907,0.025,0.005,0.016,0.000,0.018,0.029,0.060,0.405,0.595,0.221,0.282
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),12,0.132,0.133,0.121,0.215,0.173,0.098,0.055,0.049,0.024,0.083,0.311,0.335,0.196,0.075,0.934,0.021,0.007,0.012,0.000,0.010,0.016,0.030,0.407,0.593,0.196,0.308
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),27,0.120,0.136,0.141,0.219,0.181,0.103,0.038,0.037,0.025,0.082,0.341,0.337,0.181,0.059,0.912,0.023,0.006,0.011,0.000,0.021,0.027,0.053,0.394,0.606,0.194,0.294
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),10,0.121,0.145,0.141,0.226,0.186,0.105,0.030,0.028,0.018,0.088,0.373,0.342,0.151,0.046,0.938,0.005,0.005,0.008,0.000,0.015,0.029,0.045,0.443,0.557,0.221,0.327
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),21,0.118,0.139,0.136,0.219,0.189,0.104,0.039,0.035,0.021,0.081,0.355,0.339,0.171,0.054,0.918,0.017,0.007,0.009,0.000,0.019,0.030,0.054,0.408,0.592,0.198,0.303
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),4,0.120,0.130,0.132,0.220,0.192,0.096,0.045,0.047,0.018,0.076,0.319,0.341,0.205,0.059,0.845,0.040,0.011,0.014,0.000,0.040,0.050,0.115,0.431,0.569,0.249,0.283
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),7,0.113,0.136,0.132,0.211,0.192,0.106,0.047,0.038,0.025,0.074,0.353,0.333,0.178,0.062,0.936,0.021,0.007,0.006,0.000,0.011,0.019,0.030,0.345,0.655,0.134,0.283
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),103,0.126,0.124,0.140,0.209,0.171,0.096,0.052,0.049,0.033,0.079,0.283,0.324,0.226,0.088,0.897,0.034,0.006,0.023,0.000,0.018,0.022,0.050,0.439,0.561,0.224,0.324
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),1: Morning (8am-12noon),20,0.133,0.121,0.128,0.210,0.178,0.103,0.055,0.041,0.031,0.088,0.309,0.332,0.198,0.073,0.924,0.008,0.005,0.010,0.000,0.025,0.028,0.091,0.531,0.469,0.272,0.386
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),2: Recreation Hours (8am-8pm),70,0.137,0.135,0.128,0.215,0.168,0.093,0.054,0.047,0.023,0.087,0.302,0.329,0.205,0.077,0.931,0.017,0.005,0.015,0.000,0.013,0.019,0.048,0.453,0.547,0.238,0.328
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,2: Weekend Day (Sa-Su),3: Afternoon (12noon-4pm),24,0.130,0.152,0.144,0.213,0.170,0.087,0.045,0.042,0.017,0.084,0.318,0.320,0.205,0.073,0.937,0.018,0.002,0.017,0.000,0.007,0.019,0.033,0.393,0.607,0.207,0.281
