Type of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),48,2680,2693,20.9,20.7,25,24,1.606,0.072,0.151,0.158,0.187,0.072,0.072,0.086,0.036,0.043,0.058,0.022,0.014,0.022,0.000,0.000,0.007,0.065,0.050,0.215,0.101,0.187,0.101,0.036,0.151,0.058,0.029,0.000,0.000,0.000,0.007,0.230,0.180,0.252,0.158,0.137,0.043,0.000,0.000,0.000,0.000,0.914,0.050,0.007,0.007,0.000,0.022
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),1: Morning (8am-12noon),12,2580,2571,18.5,17.6,23,22,1.752,0.079,0.184,0.184,0.132,0.000,0.132,0.079,0.026,0.053,0.105,0.026,0.000,0.000,0.000,0.000,0.000,0.079,0.079,0.211,0.105,0.211,0.105,0.026,0.053,0.105,0.026,0.000,0.000,0.000,0.000,0.237,0.184,0.316,0.158,0.105,0.000,0.000,0.000,0.000,0.000,0.869,0.079,0.000,0.026,0.000,0.026
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),2: Recreation Hours (8am-8pm),34,2462,2487,17.6,17.4,22,22,1.686,0.069,0.167,0.196,0.204,0.049,0.059,0.088,0.020,0.039,0.069,0.020,0.010,0.000,0.000,0.000,0.010,0.088,0.049,0.235,0.118,0.206,0.118,0.049,0.049,0.049,0.029,0.000,0.000,0.000,0.010,0.274,0.196,0.265,0.137,0.118,0.010,0.000,0.000,0.000,0.000,0.892,0.069,0.000,0.010,0.000,0.029
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),3: Afternoon (12noon-4pm),9,2109,2213,14.9,15.4,23,23,1.740,0.071,0.071,0.214,0.358,0.071,0.036,0.107,0.036,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.107,0.000,0.213,0.143,0.179,0.179,0.143,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.143,0.286,0.107,0.143,0.000,0.000,0.000,0.000,0.000,0.928,0.036,0.000,0.000,0.000,0.036
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,0: All Days (M-Su),4: Evening (4pm-8pm),12,2610,2610,18.7,18.7,22,21,1.575,0.056,0.222,0.194,0.167,0.083,0.000,0.083,0.000,0.028,0.083,0.028,0.028,0.000,0.000,0.000,0.028,0.083,0.056,0.277,0.111,0.222,0.083,0.000,0.056,0.028,0.056,0.000,0.000,0.000,0.028,0.278,0.250,0.194,0.139,0.111,0.028,0.000,0.000,0.000,0.000,0.889,0.083,0.000,0.000,0.000,0.028
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),27,2743,2808,19.7,19.5,22,21,1.657,0.100,0.150,0.166,0.150,0.050,0.050,0.050,0.050,0.067,0.083,0.017,0.017,0.050,0.000,0.000,0.000,0.050,0.083,0.284,0.100,0.133,0.067,0.000,0.183,0.067,0.033,0.000,0.000,0.000,0.000,0.250,0.267,0.200,0.183,0.083,0.017,0.000,0.000,0.000,0.000,0.899,0.050,0.017,0.017,0.000,0.017
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),1: Morning (8am-12noon),10,2655,2733,18.8,18.0,22,21,1.721,0.091,0.185,0.136,0.136,0.000,0.136,0.045,0.045,0.045,0.136,0.045,0.000,0.000,0.000,0.000,0.000,0.091,0.136,0.184,0.136,0.136,0.091,0.000,0.045,0.136,0.045,0.000,0.000,0.000,0.000,0.319,0.136,0.273,0.227,0.045,0.000,0.000,0.000,0.000,0.000,0.819,0.136,0.000,0.045,0.000,0.000
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),2: Recreation Hours (8am-8pm),21,2367,2469,15.8,15.7,20,19,1.719,0.109,0.152,0.195,0.196,0.022,0.065,0.043,0.022,0.065,0.087,0.022,0.022,0.000,0.000,0.000,0.000,0.065,0.087,0.327,0.109,0.152,0.087,0.000,0.065,0.065,0.043,0.000,0.000,0.000,0.000,0.304,0.283,0.174,0.174,0.065,0.000,0.000,0.000,0.000,0.000,0.891,0.065,0.000,0.022,0.000,0.022
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),3: Afternoon (12noon-4pm),4,1672,2046,7.1,9.3,14,15,2.351,0.111,0.000,0.222,0.556,0.000,0.000,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.000,0.445,0.111,0.222,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.556,0.222,0.111,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.889,0.000,0.000,0.000,0.000,0.111
Personal,Visitors,Trip Start,5030000000001054198,Baylor,no,N/A,no,1: Weekday (M-F),4: Evening (4pm-8pm),7,2336,2336,16.2,16.2,20,20,1.339,0.133,0.200,0.265,0.067,0.067,0.000,0.067,0.000,0.067,0.067,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.067,0.466,0.067,0.133,0.067,0.000,0.133,0.000,0.067,0.000,0.000,0.000,0.000,0.133,0.534,0.067,0.133,0.133,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
